model,accuracy,precision,recall,f1,roc_auc
HistGradientBoosting,0.8754222540689938,0.7869943676395289,0.6573994867408041,0.7163831274761128,0.9289400321566912
Random Forest,0.8155389497389702,0.5765714285714286,0.863130881094953,0.6913326481671805,0.9171663018043732
Logistic Regression,0.8065308629337701,0.5649275362318841,0.8336184773310522,0.6734623358673116,0.9043426498407535
